well,cell_count__total,G1,S,G2,S_dropout,other,cell_count,cell_count__dead,corpse_count
C10,237.0,0.29957805907172996,0.046413502109704644,0.02531645569620253,0.0970464135021097,0.5316455696202531,178.0,59.0,44
C11,289.0,0.3460207612456747,0.01730103806228374,0.10726643598615918,0.09688581314878893,0.43252595155709345,233.0,56.0,94
D02,3133.0,0.3268432812001277,0.4308969039259496,0.16406000638365784,0.04947334822853495,0.02872646026172997,3099.0,34.0,13
D03,3064.0,0.3175587467362924,0.42950391644908614,0.18244125326370758,0.031657963446475194,0.03883812010443864,3000.0,64.0,12
D04,2970.0,0.2962962962962963,0.4595959595959596,0.17811447811447811,0.03265993265993266,0.03333333333333333,2914.0,56.0,22
D05,3025.0,0.3262809917355372,0.40859504132231406,0.19636363636363635,0.03636363636363636,0.03239669421487603,2987.0,38.0,27
D06,2843.0,0.30918044319380933,0.3971157228279986,0.2124516355962012,0.044319380935631376,0.03693281744635948,2791.0,52.0,20
D07,2368.0,0.36190878378378377,0.32136824324324326,0.2204391891891892,0.05109797297297297,0.045185810810810814,2313.0,55.0,18
D08,1379.0,0.20522117476432197,0.032632342277012324,0.583756345177665,0.0826686004350979,0.09572153734590283,1298.0,81.0,28
D09,789.0,0.5348542458808618,0.011406844106463879,0.010139416983523447,0.0063371356147021544,0.4372623574144487,648.0,141.0,22
D10,272.0,0.28308823529411764,0.014705882352941176,0.08823529411764706,0.03308823529411765,0.5808823529411765,240.0,32.0,39
D11,175.0,0.38857142857142857,0.05142857142857143,0.11428571428571428,0.09142857142857143,0.35428571428571426,150.0,25.0,55
E02,3352.0,0.32577565632458233,0.4498806682577566,0.1610978520286396,0.03162291169451074,0.03162291169451074,3305.0,47.0,12
E03,3081.0,0.3333333333333333,0.4177215189873418,0.17169750081142487,0.04446608244076598,0.03278156442713405,3040.0,41.0,13
E04,3126.0,0.309660908509277,0.4523352527191299,0.16986564299424184,0.03294945617402431,0.035188739603326934,3067.0,59.0,7
E05,2695.0,0.3246753246753247,0.3970315398886827,0.20111317254174396,0.03525046382189239,0.04192949907235621,2632.0,63.0,11
E06,2925.0,0.31384615384615383,0.4023931623931624,0.19794871794871796,0.04581196581196581,0.04,2867.0,58.0,28
E07,2470.0,0.36923076923076925,0.2923076923076923,0.23522267206477732,0.04736842105263158,0.055870445344129556,2389.0,81.0,14
E08,1393.0,0.20674802584350324,0.028715003589375447,0.5721464465183058,0.09188801148600144,0.10050251256281408,1316.0,77.0,17
E09,708.0,0.031073446327683617,0.015536723163841809,0.16242937853107345,0.327683615819209,0.4632768361581921,618.0,90.0,36
E10,249.0,0.25301204819277107,0.020080321285140562,0.10441767068273092,0.08433734939759036,0.5381526104417671,192.0,57.0,25
E11,216.0,0.2824074074074074,0.0,0.125,0.09259259259259259,0.5,177.0,39.0,66
F02,3062.0,0.30992815153494446,0.4412148922273024,0.17341606792945788,0.037883736120182886,0.03755715218811234,2997.0,65.0,15
F03,2974.0,0.29119031607262946,0.4542703429724277,0.17552118359112306,0.04371217215870881,0.03530598520511096,2921.0,53.0,11
F04,3068.0,0.29986962190352023,0.4364406779661017,0.181877444589309,0.044654498044328556,0.037157757496740544,3002.0,66.0,15
F05,3060.0,0.3006535947712418,0.43790849673202614,0.18202614379084966,0.04477124183006536,0.034640522875816995,3012.0,48.0,8
F06,2732.0,0.32284040995607616,0.38726207906295756,0.1863103953147877,0.05417276720351391,0.049414348462664716,2664.0,68.0,26
F07,2359.0,0.3569309029249682,0.3077575243747351,0.2267910131411615,0.05214073760067826,0.05637982195845697,2294.0,65.0,31
F08,1207.0,0.1739850869925435,0.021541010770505385,0.5824357912178956,0.1375310687655344,0.08450704225352113,1147.0,60.0,18
F09,760.0,0.5815789473684211,0.009210526315789473,0.014473684210526316,0.009210526315789473,0.38552631578947366,664.0,96.0,38
F10,217.0,0.20276497695852536,0.004608294930875576,0.08755760368663594,0.06912442396313365,0.6359447004608295,157.0,60.0,30
F11,169.0,0.30177514792899407,0.029585798816568046,0.11834319526627218,0.10059171597633136,0.44970414201183434,147.0,22.0,47
G02,2924.0,0.3067715458276334,0.4466484268125855,0.17578659370725033,0.03556771545827633,0.03522571819425445,2871.0,53.0,9
G03,2789.0,0.31767658659017567,0.4284689852993905,0.17246324847615632,0.03119397633560416,0.05019720329867336,2715.0,74.0,20
G04,3112.0,0.3116966580976864,0.4190231362467866,0.19665809768637532,0.03759640102827763,0.035025706940874035,3054.0,58.0,31
G05,2573.0,0.2934317916828605,0.4302370773416246,0.20481927710843373,0.03109211037699184,0.04041974349008939,2516.0,57.0,8
G06,2778.0,0.3257739380849532,0.398488120950324,0.1969042476601872,0.035637149028077755,0.04319654427645788,2718.0,60.0,14
G07,2158.0,0.3563484708063021,0.3160333642261353,0.22103799814643188,0.03985171455050973,0.06672845227062095,2082.0,76.0,21
G08,1265.0,0.6490118577075099,0.01818181818181818,0.021343873517786563,0.02924901185770751,0.28221343873517785,1157.0,108.0,15
G09,897.0,0.056856187290969896,0.016722408026755852,0.08918617614269789,0.46711259754738016,0.3701226309921962,788.0,109.0,18
G10,277.0,0.18411552346570398,0.01444043321299639,0.061371841155234655,0.05776173285198556,0.6823104693140795,181.0,96.0,23
G11,280.0,0.225,0.017857142857142856,0.15,0.05714285714285714,0.55,214.0,66.0,82
